Model_Name,Topology_Vect,Model_arch,LR,TopoDim_concat,TopoDim,Config_file,Augmentation,Augmentation_Type,Train_loss,Train_Acc,Val_Loss,Val_Acc
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.5,topo,1.4939612285027135,"tensor(96.8108, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4700, device='cuda:0', dtype=torch.float64)"
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.3,topo,1.509885597523776,"tensor(95.1582, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.6100, device='cuda:0', dtype=torch.float64)"
PI_IMG_37_TR_DIM1_S_LR,pi_img,TR_img,0.0001,False,1,,0.5,non-topo,1.4869772124510543,"tensor(97.4708, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.2500, device='cuda:0', dtype=torch.float64)"
PIV_0_TR_17,pi_v,TR,0.0001,False,0,config/TBR_piv.json,0.3,all,1.5365207702810113,"tensor(92.5109, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.0200, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.5,all,1.4850132812206562,"tensor(97.6354, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.5700, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.5,topo,1.4948143070220947,"tensor(96.7554, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.5300, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.3,non-topo,1.489479108168862,"tensor(97.2218, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.1400, device='cuda:0', dtype=torch.float64)"
PI_IMG_49_TR_CONCAT_N_LR,pi_img,TR_img,0.0001,True,1,,0.5,non-topo,1.4963344090975248,"tensor(96.5615, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.0800, device='cuda:0', dtype=torch.float64)"
PIV_1_TBR_6,pi_v,TBR,0.0001,False,1,config/TBR_piv.json,0.3,all,1.5353840235623446,"tensor(92.6200, device='cuda:0', dtype=torch.float64)",0.0,"tensor(83.8500, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.3,topo,1.4907430716948076,"tensor(97.1018, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.3300, device='cuda:0', dtype=torch.float64)"
PIV_1_TR_17,pi_v,TR,0.0001,False,1,config/TBR_piv.json,0.3,all,1.5061128980983387,"tensor(95.5618, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.8600, device='cuda:0', dtype=torch.float64)"
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.5,topo,1.4863307320374708,"tensor(97.5292, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.4900, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.5,all,1.5000001574883095,"tensor(96.1800, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.4800, device='cuda:0', dtype=torch.float64)"
PI_IMG_52_TR_CONCAT_L_LR,pi_img,TR_img,0.0001,True,1,,0.5,non-topo,1.4813090167999268,"tensor(98.0092, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.7400, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.3,non-topo,1.5127679970654575,"tensor(94.9309, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.5700, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.3,topo,1.4926521093195135,"tensor(96.8764, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.6500, device='cuda:0', dtype=torch.float64)"
SILH_TBR_0_10,silh,TBR,0.0001,False,0,config/TBR_bc_small.json,0.3,all,1.505971798289906,"tensor(95.5400, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.3700, device='cuda:0', dtype=torch.float64)"
PIV_0_TBR_6,pi_v,TBR,0.0001,False,0,config/TBR_piv.json,0.5,non-topo,1.4896686163388766,"tensor(97.1738, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.3700, device='cuda:0', dtype=torch.float64)"
PI_IMG_19_TBR_CONCAT_S_LR,pi_img,TBR_img,0.0001,True,1,,0.5,all,1.4819256801311786,"tensor(97.9508, device='cuda:0', dtype=torch.float64)",0.0,"tensor(91.4700, device='cuda:0', dtype=torch.float64)"
SILH_TBR_2DIM_9,silh,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.3,all,1.5404773660139603,"tensor(92.0927, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.2800, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.5,topo,1.5020708767524131,"tensor(96., device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.3900, device='cuda:0', dtype=torch.float64)"
PI_IMG_19_TBR_CONCAT_S_LR,pi_img,TBR_img,0.0001,True,1,,0.3,topo,1.4875072238575329,"tensor(97.4036, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.1200, device='cuda:0', dtype=torch.float64)"
PIV_0_TR_17,pi_v,TR,0.0001,False,0,config/TBR_piv.json,0.5,non-topo,1.5142607730865478,"tensor(94.7292, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.5300, device='cuda:0', dtype=torch.float64)"
PI_IMG_19_TBR_CONCAT_S_LR,pi_img,TBR_img,0.0001,True,1,,0.3,non-topo,1.4909704394080423,"tensor(97.0509, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.6500, device='cuda:0', dtype=torch.float64)"
SILH_TBR_10,silh,TBR,0.0001,False,1,config/TBR_bc_small.json,0.3,all,1.5131891172062266,"tensor(94.8564, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.4500, device='cuda:0', dtype=torch.float64)"
PI_IMG_34_TR_DIM0_L_LR,pi_img,TR_img,0.0001,False,0,,0.5,all,1.5000808590815615,"tensor(96.1815, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.7800, device='cuda:0', dtype=torch.float64)"
PI_IMG_34_TR_DIM0_L_LR,pi_img,TR_img,0.0001,False,0,,0.3,topo,1.5138154903758656,"tensor(94.8073, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.6500, device='cuda:0', dtype=torch.float64)"
SILH_TR_9,silh,TR,0.0001,False,0,config/TBR_bc_small.json,0.3,all,1.4956545786944302,"tensor(96.5982, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.7700, device='cuda:0', dtype=torch.float64)"
PIV_1_TBR_6,pi_v,TBR,0.0001,False,1,config/TBR_piv.json,0.5,non-topo,1.5044651744108934,"tensor(95.7538, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4800, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.5,topo,1.484651745576125,"tensor(97.6738, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.6300, device='cuda:0', dtype=torch.float64)"
PI_IMG_37_TR_DIM1_S_LR,pi_img,TR_img,0.0001,False,1,,0.3,topo,1.50552732556083,"tensor(95.6673, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.2500, device='cuda:0', dtype=torch.float64)"
PI_IMG_37_TR_DIM1_S_LR,pi_img,TR_img,0.0001,False,1,,0.5,all,1.4869772124510543,"tensor(97.4708, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.2500, device='cuda:0', dtype=torch.float64)"
SILH_TR_9,silh,TR,0.0001,False,1,config/TBR_bc_small.json,0.3,all,1.521608482690291,"tensor(94.0127, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.1700, device='cuda:0', dtype=torch.float64)"
PI_IMG_34_TR_DIM0_L_LR,pi_img,TR_img,0.0001,False,0,,0.3,non-topo,1.4901697492599488,"tensor(97.1545, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.7300, device='cuda:0', dtype=torch.float64)"
PIV_1_TR_17,pi_v,TR,0.0001,False,1,config/TBR_piv.json,0.5,non-topo,1.5018168716724103,"tensor(95.9785, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.9600, device='cuda:0', dtype=torch.float64)"
